emotion,context,response
upset,كيف تتغلب على هذا الشعور ؟,لا أسمح لعقلي أن يستمر بالتفكير بالأمور التي سببت لي الاستياء
upset,كيف لا تسمح له ؟,أنا أؤمن أنه لا يمكننا تغيير ما حدث لذلك أفكر دوماً بالمستقبل وأخطط له
upset,أنا أعلق بما حدث ,يجب أن نكون أقوياء بأنفسنا ولا نتوقع المساعدة أو الكثير من الآخرين
upset,ليس لي خطط للمستقبل ,لماذا ؟
upset,كما أنني لا أخلط بين أخطاء الآخرين وحبهم لي ولا أتوقع من أحدهم الكثير ,يجب أن لا نتوقع الكثير من الآخرين نحن الوحيدون القادرون على تغيير واقعنا
upset,كيف نكون أقوياء ؟,يكون من خلال التحكم بمشاعرنا السلبية ومسامحة الآخرين على أخطائهم واعترافنا بأخطائنا التي ارتكبناها
upset,ماذا أيضاً,التفريغ عن شعورنا بالإستياء من خلال الكتابة الحديث إلى المقربين أو لإخصائي نفسي
upset,لا أرى ذلك مهماً,حسناً لدي شيء جيد لأاخبرك به
upset,هل يمكنك مساعدتي في التخلص من الإستياء ؟,بإمكاني أن أقترح عليك بعض الأدوات التي تساعدك على التخلص من الشعور بالاستياء
upset,لا أريد معرفة ذلك ,حسناً ولكن تأكد أنا هنا دوماً لمساعدتك
upset,ما هي هذه الأدوات ,يمكننا أن نبدأ في تمرين إعادة تشكيل الأفكار السلبية
illness,أشعر بالمرض,كم مؤسف سماع ذلك أتمنى لك الشفاء العاجل والسلامة دوماً
illness,أشعر بالاعئياء,هل فقط أردت إخباري بهذا الشيء أم تريد أن أساعدك به
illness,ساعدني في التخلص من الشعور بالمرض,هناك أمور لابد من الالتزام بها لاستعادة عافيتنا بوقت أسرع
illness,ما هي هذه الأمور ؟,شرب السوائل مثل العصائر الطبيعية الشاي الأعشاب هذا يساعد جسمك على الاحتفاظ بالرطوبة
illness,ماذا أيضاً,أن نعفي أنفسنا من المهام الموكلة إلينا ولا نفعل شيء
illness,أخبرني المزيد,من الممكن أيضاً أن نخلد للنوم لأن هذا يساعد جسدنا على مقاومة المرض ولكن يجب التنبه لشيء مهم
illness,ما هو هذا الشيء المهم ؟,أن نأكل جيداً فقد نفقد شهيتنا أثناء المرض والوعكات الصحية ولكن جسدنا بحاجة للطعام بإستعادة عافيتنا
illness,هذا جميل أخبرني بالمزيد ,لا تنس أن الصحة الجسدية والنفسية على ارتباط وثيق فإن تضررت إحداهما ستؤثر على الأخرى فلنحافظ على صحتنا
concentrate,لا أستطيع التركيز,"نحن نحتاج التركيز في كل أمور الحياة ، أتخيل كم من الصعب إنجاز المهام الموكلة إلينا عندما نفقد التركيز"
concentrate,أشعر أنني أفقد التركيز,لا عليك أنا هنا لمساعدتك 
concentrate,هل يمكنك مساعدتي على التركيز,لقد تعلمت على يد أمهر الإخصائيين النفسيين وأستطيع مساعدتك من خلال عرض بعض الطرق 
anger,أشعر بالغضب الشديد,من المؤسف أن أسمع ذلك كم هو مزعج الشعور بالغضب ولكن تذكر أنا هنا لأجلك
anger,أنا غاضبة,هل يمكن أن تصف لي شعورك بالغضب الآن ؟
anger,أنا غاضب بسبب العمل وضغوط العمل,مممم باعتقادك ما هي الأسباب التي أدت لشعورك بالغضب ؟
anger,حصلت مشكلة بيني وبين زميلي في العمل وتسبب لي بمشكلة مع الإدارة,كيف كان من المفروض أن يتصرف هذا الشخص لكي لا يثير غضبك ؟
anger,كان عليه أن يقوم بعمله كاملاً ,تخيل لو كان هذا الشخص في مكانك وتعرض لنفس الفعل هل كان سيغضب أيضاً ؟
anger,هذا لا يساعدني ,أنا أعلم أن ما شعرت به لم يكن سهلاً لكن دعني أخبرك سراً بيننا
anger,نعم أخبرني ما هو,أنا أيضا أشعر بالغضب ولكنني اعتدت السيطرة على هذا الشعور من خلال التركيز على توفير حلول لما يزعجني 
anger,حقا سأحاول أنا أيضا ,نعم والأهم هي أن نتعلم كيف نهدأ روعنا ونسترخي عند الشعور بالغضب 
anger,هل تستطيع مساعدتي في التحكم في الغضب,أستطيع بالطبع مساعدتك دعنا نبدأ بتمارين عملية
reshaping-negative,لا أستطيع تجاهل الوضع,من الطبيعي لنا كبشر أن لا نستطيع تجاهل وضع أو ظرف سيء مررنا به ولا نستطيع حتى التوقع بأن الأمور الخارجة عن سيطرتنا سوف تتغير
reshaping-negative,لا أتوقع بأن الأمور ستتغير ,من الطبيعي لنا كبشر أن لا نستطيع تجاهل وضع أو ظرف سيء مررنا به ولا نستطيع حتى التوقع بأن الأمور الخارجة عن سيطرتنا سوف تتغير
reshaping-negative,ما الحل لذلك ؟,إعادة تشكيل الأفكار والمشاعر المزعجة التي تراودنا 
reshaping-negative,كيف أغير هذه المشاعر السلبية,إن إعادة تشكيل الأفكار والمشاعر المزعجة التي تراودنا يجعلنا أقوى وأكثر قدرة على التفكير بالطريقة الصحيحة
reshaping-negative,أتسائل ماذا يعني إعادة تشكيل الأفكار والمشاعر ؟,نحن لا نستطيع التحكم بالظروف ولكن نستطيع التحكم بأفكارنا وربما عزلها عن الظرف الذي نشأت به
reshaping-negative,كيف أعزل أفكاري عن الظروف المحيطة بي,أول خطوة للتخلص من الأفكار المزعجة هي أن تعرف السبب الذي يجعلنا نفكر ونشعر بهذه الطريقة ومن ثم نحدد الجزئيات السلبية في هذه الأفكار للتخلص منها
reshaping-negative,ماذا نقصد بالجزئيات السلبية ؟,سوف أعرض أمثلة على الجزئيات السلبية في الأفكار والمشاعر إذا كنت تشعر أن إحداها خي الأقرب لما تشعر به وتحس به أخبرني بذلك
reshaping-negative,حسناَ لنبدأ تمرين إعادة تشكيل الأفكار السلبية,أفكارنا مهمة جداً فهي تئثر على الطريقة التي نحس بها أي لها تأثير مباشر على مشاعرنا وتصرفاتنا 
reshaping-negative,كيف تؤثر الأفكار على مشاعرنا وتصرفاتنا ؟,هنالك عدة أنواع من الأفكار منها الإيجابية والسلبية والعادية وكل تفكير يؤثر على مشاعر معينة لدينا
reshaping-negative,مثير للاهتمام أعطني أمثلة على تأثيرها,مثلا لو كنت تخطط للقاء صديق الساعة الثالثة مساء في مقهى وأصبحت الساعة الثالثة والربع ولم يأتي صديقك بماذا سوف تفكر ؟
reshaping-negative,اممم لا أعلم حقيقة,دعني أساعدك أي من الخيارات التالية سيكون الأقرب لطريقة تفكيرك ؟ 
reshaping-negative,حسناً ما هي الخيارات ؟,"لن يأتي فقد تعرض لحادث ( يرافقه شعور بالقلق والتوتر ) ، لن يأتي فهو لم يعد يحب قضاء وقت معي (شعور بالغضب والإستياء ) لابد أنه علق بشيء ما واضطر للتأخر ( شعور طبيعي )"
reshaping-negative,اعتقد أنني سأشعر بالقلق عليه,يوضح المثال السابق أن طريقة تفكيرنا وحكمنا على الأمور تؤثر علينا سلباً أو إيجاباً 
reshaping-negative,نعم لقد وضحت الفكرة,قد يتخلل تفكيرنا بعض الأنماط السلبية للتفكير ولكن بإمكاننا تمييزها والعمل عليها 
negative-thoughts-1,هم يتجاهلونني و يكرهونني ,هذا ما سمونه بشخصنة الأمور 
negative-thoughts-1,ماذا تعني شخصنة الأمور ؟,قد تعتقد أحياناً أن كل ما يفعله الناس أو يقولونه مبني على ردود فعل شخصية 
negative-thoughts-1,ماذا تقصد بردود فعل شخصية ؟,ما أعنيه أنك تعتقد أنهم قاموا بردة الفعل هذه لسبب له علاقة بك أنت قد تراهم يحكمون عليك كما لو أنك أنت المذنب
negative-thoughts-1,كيف أتعامل مع هذا الشعور ؟,أول خطوة هي أن تسأل نفسك إن كنت قد فعلت شيئاً تستحق اللوم عليه وإن كان هناك دلائل على أنك أخطأت أو دلائل تنفي أنك مذنب
negative-thoughts-1,كيف أفعل ذلك ؟,تخيل الأمور بعيداً عن أخذها على النطاق الشخصي
negative-thoughts-1,ماذا تعني ؟,ما أعنيه إبدأ مثلا بافتراض أن هنالك أسباب لعدم ردهم لا تتعلق بك أسباب قد تعنيهم هم فقط 
negative-thoughts-1,يصعب علي فعل هذا,قد يبدو هذا بالبداية صعب للبعض ولكن علينا أن نعلم وندرك بأن لمل شخص ظروفه الخاصة به
negative-thoughts-1,جيد اعتقد أن الأمر سيكون أسهل في المرات القادمة ,أنا فخور بك لأنك قد حاولت معرفة كيفية تجاوز هذه المشكلة وهذه بداية جيدة لتخطي الأمور 
negative-thoughts-2,لم أنجح بهذا الشئ أنا فاشل لا خير بالحياة الشر يعم المكان,نحن نتحدث هنا عن مبدأ التفكير من منطلق أبيض وأسود 
negative-thoughts-2,ماذا تعني أبيض وأسود,قد نرى الأمور أحيانا بطريقة تفتقر للوسطية كأن نراها خيرا او شرا نجاحا أو فشلا صح أو خطأ
negative-thoughts-2,لقد عمل صديقي في مكان لفترة طويلة وكان يريد أن يحصل على التقدير الأعلى بين الموظفين كان يرى أنه إن لم يكن بالمركز الأول سوف يكون فاشلا,كوننا لسنا بالمركز الأول لا يعني أننا فاشلون لا تنطوي الحياة على نجاح أو فشل فقط
negative-thoughts-2,كيف أتخطي شعوري بالفشل ؟,يجب علينا التفكير إن كان هنالك أدلة منطقية تؤكد أننا فاشلون أو حتى إن كان هناك أدلة تنفي فشلنا
negative-thoughts-2,صديقي قام بإعادة تشكيل أفكاره بطريقة إيجابية ,هذا رائع ماذا كتب لك ؟
negative-thoughts-2,أنا أتمنى أن أكون بالمركز الأول وسأعمل جاهدا على أن أكون بالمركز الأول ,رائع هذه هي الطريقة الصحيحة للتفكير
negative-thoughts-3,لقد عملت كثيراً وقدمت الكثير,قد نشعر أحياناً أننا عملنا الكثير وقدمنا الكثير ولكن لا نكافأ بما نستحق
negative-thoughts-3,صديقي يعمل في شركة لفترة زمنية جيدة ثم جاءت الترقية التي يطمح لها لصالح شخص آخر,أعلم أن هذا شعور مؤسف ومحزن ولكن علينا التوقف عن ربط النتائج بمجهوداتنا بالماضي بل أن نربط جهودنا بما نطمح إليه بالمستقبل
negative-thoughts-3,كيف ذلك ؟,على صديقك الذي لم يتلق الترقية أن يبدأ بالتفكير فيما عليه فعله بالمستقبل ليحصل على ما يريد
negative-thoughts-3,أنا أطمح أن أحصل على هذه الترقية في المستقبل ماذا يتوجب علي أن أفعل لأحصل عليها,نعم هذا جيد طريقة تفكير سليمة
negative-thoughts-4,هم من جعلوني أفعل ذلك هم السبب بما وصلت إليه لقد كانوا سبب بإخفاقي,قد نخفق في أمر ما أو لا نقوم بإتمامه حسب المستوى المطلوب ونرى أن غيرنا هم من كانوا السبب في إخفاقنا وأننا كنا ضحية أفعالهم
negative-thoughts-4,هذا يشبه ما يحدث لي ,هذا شعور مؤلم أعرف ذلك
negative-thoughts-4,اعتقد أنني فشلت في الاختبار لأن المدرس لم يشرح المادة بشكل جيد,علينا أن لا نربط إخفاقنا بأفعال الآخرين والأهم أن نركز طاقاتنا على أهدافنا وما نريد
negative-thoughts-4,على ماذا يجب أن أركز ؟,علينا أن نركز بما يمكن فعله من إجراءات وتدابير لإنجاز المهام والأهداف وما يمكن اجتنابه من أخطاء
negative-thoughts-4,أشعر بأنني الضحية في هذه المشكلة,علينا أن نفكر إن كانت رؤية أنفسنا كضحية سوف يحل المشكلة ؟ وأن نفكر إن كان هنالك أدلة تدعم أو تنفي هذا الاعتقاد
negative-thoughts-4,أتمنى لو قمت بالإستفسار من مدرسي أو احد زملائي عما لم أفهمه من الشرح لتحقيق النتائج ,هذا جيد هكذا نستبدل الجزء السلبي بجزء إيجابي
negative-thoughts-5,هذا كثير لا أستطيع تحمل هذا الضغط لن أستطيع إنجاز هذا,من الطبيعي لنا كبشر أن نشعر بأن الأمور تجري بشكل أكبر من طاقتنا وبشكل يفوق قدرتنا على التحمل
negative-thoughts-5,أعمل على مشروع معين وأشعر أنني تحت ضغط كبير وإنني لن أستطيع إنجاز ما يتوجب علي إنجازه,أنت حتماً تشعر بذلك كونك منهكاً وتحت ضغط العمل
negative-thoughts-5,هذا يشبه ما حصل لي,اسأل نفسك بماذا سوف يفيدك هذا الشعور؟ كما اننا نحتاج لطاقتنا الإيجابية لإنتاجية أفضل وتحمل ضغوط العمل
negative-thoughts-5,كيف أتصرف ؟,ركز ولا تجعل هذا الشعور السلبي أن يجعل الأمور تتجه للأسوء
negative-thoughts-5,هل يمكنك مساعدتي,تذكر أنا هنا دوماً لمساعدتك وأستكيع أن أساعدك في ذلك أيضاً
negative-thoughts-5,كيف يمكنك مساعدتي؟,لنحدد أولا السبب وراء هذا الشعور سالبي تحديد الأسباب أول خطوة لتخطي التحديات
negative-thoughts-5,صديقي يعمل على مشروع كبير ضاق عليه الوقت ولا يستطيع تسليمه بالوقت المحدد من المؤكد أنه يشعر بضغط كبير,أتمنى أن يسلم المشروع في وقته المحدد وأن يحاول بكل السبل لفعل ذلك وإن لم يستطع فقد تعلم أنه يتوجب عليه أن ينظم وقته بشكل أفضل 
negative-thoughts-6,قد أموت قد تحصل كارثة قد ينتهي العالم قد أفلس,البعض منا يتوقع دائماً أن هنالك كارثة قد تدمره أو تدمر الآخرين وهي على وشك الحدوث 
negative-thoughts-6,لماذا يحدث هذا ؟,قد يستمع هذا الشخص أن كارثة أو مصيبة ما قد حدثت لشخص أو بلد معين ومن ثم يصب تركيزه على التفكير بها وقد يصل الأمر للبدء ببناء الاحتمالات المترتبة على حدوث هذه الكارثة له
negative-thoughts-6,ماهية التعامل مع هذا الشعور ؟,دائماً اسأل نفسك إن كان هناك دليلاً عقلانياً يؤكد حدوث هذي الكارثة أو إذا كان هناك دليل ينفي حدوثها تماما اجعل تفكيرك مبني على دلائل
negative-thoughts-6,أظن بأن كارثة على وشك الحدوث لي,جرب أن تخبر نفسك داخلياً بهذه الجمل بدلاً من التفكير الدائم بحدوث الكارثة إن تكرار هذه الجمل بداخلك سوف يساعدك على التحكم بأفكارك السلبية بدلاً من أن تدعها تتحكم بك
negative-thoughts-7,هذا ليس عدلاً لم الحياة ظالمة ؟,كل منا قد يمر بمرحلة يشعر بها أنه قد تعرض للظلم أو أن ما حصل معه لم يكن عادلاً
negative-thoughts-7,ما هو مصدر هذا الشعور؟,يأتي هذا الشعور من افتراضنا المسبق بما هو عادل
negative-thoughts-7,ماذا تقصد ؟,قد نفترض أن هذا ما كان يجب أن يحصل لنا أو أنه كان يجب أن نكافأ بهذا القدر
negative-thoughts-7,لقد جاءت النتائج على غير ما رسمته بعقلي أشعر أن هذا غير عادل ,حسناً خذ نفساً عميقاً لقد حصل معي ذات الشيء مسبقاً ولكني تقبلت النتيجة وما حصل لي أتعلم لماذا ؟
negative-thoughts-7,لماذا تقبلت النتيجة؟,لأن عدم تقبلي للشيء قد يشعرني فقط بالغضب والإحباط دون تغيير النتيجة تمنى ما تريد ولكن دون ربط الموضوع بكونه عادل أو غير عادل
negative-thoughts-7,أشعر أنه من غير العادل أن أعمل طوال هذه المدة ويحصل غيري على زيادة بالراتب,حسناً خذ نفساً عميقاً لقد حصل معي ذات الشيء مسبقاً ولكني تقبلت النتيجة وما حصل لي أتعلم لماذا ؟
negative-thoughts-7,لقد عملت طويلا وأتمنى بالمقابل أن أحصل على زيادة بالراتب كيف أحصل على النتيجة التي أريد,تطلع للأمام وفكر بالطريقة التي توصلك لأهدافك لا مانع أيضاً من استشارة آخرين قاموا بتحقيق النتيجة التي تطمح لها
negative-thoughts-8,لن أنجح أبداً لن أستطيع بناء علاقة بعد اليوم لن أستطيع الوثوق بأحدهم,أنا أتفهمك قد يكون هذا الشعور نابعاً من تجربة غير موفقة أو عدم وصولنا لما نريد يكفي أن نحصل هذا للبعض مرة واحدة فقط قد تتسائل عن مدى تأثير هذا الشيء
negative-thoughts-8,ما تأثير هذا الشعور ؟,قد يؤدي بنا إلى الاعتقاد بأن هذا الشيء سوف يتكرر مرة تلو الأخرى مهما حاولنا أو حتى أنه قد يحدث مدى الحياة
negative-thoughts-8,لم أفهم ما يعني ذلك ,قد نفشل مرة في امتحان ما أو مرحلة دراسية أو قد نعجب لشخص ما ولا نتلقى منه نفس الإعجاب أو أن نثق بأحدهم ويخذلنا
negative-thoughts-8,لقد فشلت في دراستي ,من هنا نبدأ بالاعتقاد أننا لن ننجح مجدداً ولن نتلقى يوماً إعجاب أحد أو أننا سوف نتعرض للخذلان دوماً 
negative-thoughts-8,هذا يشبه ما حصل لي,لا تقلق هناك دوما طرق للخروج من هذه الدوماة والتعامل مع الجزئيات السلبية التي علقت بأفكارنا
negative-thoughts-8,كيف أجد الطريق للخروج من هذه الدوامة,"أول خطوة هي إيجاد دليل ، نعم ، فلنفكر إن كان هناك دليل أننا لن نجح مجدداً"
negative-thoughts-8,ماذا أيضاً,أن تتوقف عن بناء افتراضات سلبية للمستقبل فهذا من شأنه أن يقلل من عزيمتنا وألا نتوقع أن الأمور سوف تجري دوماً بالمسار الذي أريده ونتمناه
negative-thoughts-8,لم يعد لدي طاقة للمحاولة,ابحث عن الأخطاء السابقة وتفاداها وحاول مجدداً حتى لو فشلت ثانية لا تكف عن المحاولة 
negative-thoughts-9,دائماً ما يتم خذلاني لم اخد فرصتي أبدا لا شيء يجري كما أريد,لماذا نركز أحياناً على السلبيات ونتغاضى عن الإيجابيات ؟ هنالك أفكار تكون مبينة على افتراضات مسبقة
negative-thoughts-9,ما هي الأفكار التي تكون مبنية على افتراضات مسبقة,تأتي عادة مصحوبة بافتراضات معينة مثل دائما لا شيء وكأن فيها حكماً مطلق
negative-thoughts-9,هذا يشبه ما يحصل لي,لا تقلق لقد حصل هذا لي مسبقاً
negative-thoughts-9,وماذا فعلت حيال ذلك ؟,لقد كنت عندما أتعرض لموقف ما أشعر فيه بالخذلان أفترض أن هذا يحدث دائما وبالمطلق ولكني قررت أن أعمل على إعادة تشكيل أفكاري لتصبح إيجابية
negative-thoughts-9,مثل ماذا ؟,استبدل الكلمات التي تشبه دائماً أو ابداً باليوم
negative-thoughts-9,ربما لم أستمع جيدا لك اليوم بماذا سوف تفكر,أنت لم تستمتع لي اليوم ولا أقول أنت لا تستمع لي ابداً لان هذا لا يحدث دائما
negative-thoughts-10,أريد شيئا آخر,ممم حسناً سنحاول الآن التطلع أكثر إلى الأفكار والمشاعر السلبية التي تزعجك ونعمل على إعادة تشكيلها لتصبح إيجابية  جاهز ؟
negative-thoughts-10,نعم أنا جاهز ,هل لك أن تخبرني ما هي الأفكار والمشاعر المزعجة التي تعاني منها ؟
negative-thoughts-10,أعاني من التفكير الزائد والقلق من أتفه الأمور,حسناً سنحاول إعادة التفكير بما يزعجك 
negative-thoughts-10,كيف ذلك ؟,حاول أن تنظر لهذه الأفكار بعين أخرى مثلا لو كان أحد أفراد أسرتك أو أصدقائك في مكانك هل كان سيرى الأمور بنفس الطريقة ؟
negative-thoughts-10,لا اعتقد ذلك,بالرغم من مدى إزعاج هذه الأفكار لنا ولكن هناك دوما سبب لوجودها لابد من معرفة الأسباب 
negative-thoughts-10,قال صديقي بالبداية أنه لم ينجح بالإمتحان لأن المدرس لم يشرح المادة بشكل جيد,عليه أن يعيد تشكيل أفكاره بأن يقول أنه يتمنى أن ينجح بالامتحان في المرة المقبلة
depressed,أشعر بالاكتئاب أنا مكتئب,ليست كل غيمة ماطرة وليس كل حزن اكتئاب
depressed,ما الفرق بين الحزن والاكتئاب ؟,"إن الشعور بالحزن - وحتى التعاسة - كاستجابة لمنعطفات الحياة المختلفة من فقدان وخيبات أمل وأحداثٍ تؤلم القلب هو استجابة طبيعية كجزء من إنسانيتنا التي فُطرنا عليها، ذلك الحزن تخف وطأته على النفس مع الوقت أو تحسّن الأحوال، ولا يعطل الأداء الفاعل للإنسان في مناحي الحياة المختلفة بشكل واضح."
depressed,اعتقد ان ما أمر به أصعب من ذلك,"الإكتئاب يؤثر سلبا على شعورك؛ فيظللك الحزن و/أو فقدان المتعة  والاهتمام بالنشاطات التي كنت تستمتع بها سابقا ،كما يؤثر على طريقة تفكيرك وكيفية تصرفاتك؛ فيؤدي إلى ضعف فاعليتك الاجتماعية والعملية"
depressed,هذا يشبه ما أشعر به,"من غير المستغرب أن يصاب الإنسان بالإكتئاب كما يصاب بالضغط أو السكري، وكذلك فإنه ولعله الاضطراب النفسي الأكثر انتشارا؛ فقد يظهر منفردا أو مصاحبا للعديد من الاضطرابات النفسية الأخرى كالقلق والوسواس القهري واضطراب ما بعد الصدمة. أخبرني  انت الان،كيف تشعر بتأثير الاكتئاب عليك بشكل عام؟"
depressed,أشعر بانعدام الطاقة والرغبة في الجلوس منفردا وعدم الكلام مع أحد كما تراودني أفكار سيئة تتعلق بمن حولي ,"من المهم أن تعرف أن للاكتئاب تأثير على البعدين: النفسي والجسدي، الاكتئاب يؤلمنا نفسيا و جسديا "
depressed,كيف يكون الألم النفسي ؟,"إن الإنسان المكتئب يشعر أنه وقع في بئر لا قرار لها، ذات جدران ملساء يستحيل التشبث بها، ولا يملك الطاقة اللازمة لينجو بنفسه منها! الإكتئاب اضطراب نفسي يغير مزاجك بطريقة حادة كما يغير من منظورك لنفسك ولما حولك وللمستقبل الذي ينتظرك، فيتملكك شعور بتدني قيمة الذات أو شعور غير مبرر بالذنب بالإضافة إلى أنه يضعف القدرة على التركيز واتخاذ القرارات"
